round_id,phase,round_order,work_type,source_type,source_name,scope,status,target_products,expected_output,output_file,stop_condition,notes
catalog-round-000,current_seed,0,baseline_import,marketplace,Shopee,"existing 4 verified products",done,4,"นำสินค้าที่ทำไปแล้วเข้า market catalog เป็น seed",docs/air-conditioner-market-catalog.csv,none,"ยังต้องหา catalog source เพิ่มให้ทั้ง 4 รุ่น"
catalog-round-001,phase_1_retailer_catalog,1,retailer_catalog_capture,retailer,HomePro,"แอร์ติดผนังทั้งหมด",pending,100,"รายการ brand/series/model/BTU/ราคา จากร้านใหญ่",docs/air-conditioner-market-catalog.csv,stop_after_category_page_or_rate_limit,"ใช้เป็น source หลักรอบแรก เพราะมีจำนวนรายการและแบรนด์กว้าง"
catalog-round-002,phase_1_retailer_catalog,2,retailer_catalog_capture,retailer,Power Buy,"แอร์ติดผนังทั้งหมด",pending,80,"ยืนยันรุ่นซ้ำและราคา retail",docs/air-conditioner-market-catalog.csv,stop_after_category_page_or_rate_limit,"เก็บรุ่นที่ซ้ำกับ HomePro และรุ่นที่ HomePro ไม่มี"
catalog-round-003,phase_1_retailer_catalog,3,retailer_catalog_capture,retailer,Thai Watsadu,"แอร์ติดผนังทั้งหมด",pending,80,"เพิ่มรุ่นตลาดบ้าน/ช่างและพร้อมติดตั้ง",docs/air-conditioner-market-catalog.csv,stop_after_category_page_or_rate_limit,"ช่วยเห็นรุ่นที่คนซื้อพร้อมติดตั้ง"
catalog-round-004,phase_1_retailer_catalog,4,retailer_catalog_capture,retailer,Global House,"แอร์ติดผนังทั้งหมด",pending,60,"เพิ่ม coverage ร้านวัสดุก่อสร้าง",docs/air-conditioner-market-catalog.csv,stop_after_category_page_or_rate_limit,"ใช้ cross-check ราคาและรุ่น"
catalog-round-005,phase_1_retailer_catalog,5,retailer_catalog_capture,retailer,DoHome,"แอร์ติดผนังทั้งหมด",pending,60,"เพิ่ม coverage ร้านวัสดุก่อสร้าง",docs/air-conditioner-market-catalog.csv,stop_after_category_page_or_rate_limit,"ใช้ cross-check รุ่นตลาดกลาง"
catalog-round-006,phase_1_retailer_catalog,6,retailer_catalog_capture,retailer,Boonthavorn,"แอร์ติดผนังทั้งหมด",pending,40,"เพิ่ม coverage ร้านบ้าน/ตกแต่ง",docs/air-conditioner-market-catalog.csv,stop_after_category_page_or_rate_limit,"ใช้เสริม coverage"
catalog-round-007,phase_2_brand_catalog,7,brand_catalog_capture,brand,Daikin Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"brand source priority สูง"
catalog-round-008,phase_2_brand_catalog,8,brand_catalog_capture,brand,Mitsubishi Electric Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ต้องแยก Mitsubishi Electric"
catalog-round-009,phase_2_brand_catalog,9,brand_catalog_capture,brand,Mitsubishi Heavy Duty Thailand,"wall mounted air conditioners",pending,25,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ต้องแยก Mitsubishi Heavy Duty"
