queue_rank,product_key,brand,series,model,btu_options,proof_source,proof_type,proof_count,buy_link_mode,work_status,next_action,review_slug,notes
1,candy-vpct-vpgt-series,CANDY,VPCT/VPGT Series,,9000/12000/18000/23200 BTU,Shopee,reviews,10400,direct_marketplace_links,done,refresh_price_and_affiliate_links,candy-vpct-vpgt-air-conditioner,Full review is live; keep refreshing price and affiliate links.
2,tcl-savein-ai-series,TCL,SaveIN AI Series,,9200/12000/18100/24200 BTU,Shopee,reviews,9200,direct_marketplace_links,done,refresh_price_and_affiliate_links,tcl-savein-ai-air-conditioner,Full review is live; keep refreshing official specs and price.
3,xiaomi-mijia-air-inverter-eco,Xiaomi,Mijia Air Inverter Eco,,9000/12000/18000 BTU,Shopee,reviews,4300,direct_marketplace_links,done,refresh_price_and_affiliate_links,xiaomi-mijia-air-inverter-eco,Full review is live; keep refreshing links.
4,midea-celest-msce,Midea,Celest,MSCE,9360/12000/18000/24000 BTU,Shopee,reviews,193,direct_marketplace_links,done,refresh_price_and_affiliate_links,midea-celest-msce-air-conditioner,Full review is live; still useful to add official/catalog source later.
5,mitsubishi-msy-gt09vf,MITSUBISHI,MSY-GT,MSY-GT09VF,9554 BTU,HomePro,reviews,86,exact_search_links_until_affiliate_match,ready_retailer_review,write_review_next,mitsubishi-msy-gt09vf-air-conditioner,Highest remaining proof count; write with HomePro review proof and exact marketplace search links until direct affiliate links are found.
6,mitsubishi-heavy-duty-dxk10cxv-w1,MITSUBISHI HEAVY DUTY,DXK10CXV-W1,DXK10CXV-W1,9175 BTU,HomePro,reviews,13,exact_search_links_until_affiliate_match,ready_retailer_review,write_after_rank_5,mitsubishi-heavy-duty-dxk10cxv-w1-air-conditioner,Review proof is above threshold; direct marketplace links still need matching.
7,sharp-ah-au-xp10ymb,SHARP,AH/AU-XP10YMB,AH/AU-XP10YMB,9000 BTU,HomePro,reviews,8,exact_search_links_until_affiliate_match,ready_retailer_review,write_after_rank_6,sharp-ah-au-xp10ymb-air-conditioner,Review proof is above threshold; direct marketplace links still need matching.
8,daikin-ftkz09vv2s,DAIKIN,FTKZ,FTKZ09VV2S,8500 BTU,HomePro,reviews,4,needs_exact_link_or_more_proof,needs_more_evidence,find_more_reviews_or_sales_signal,,Below threshold; find Shopee/Lazada/TikTok or another retailer proof before full review.
9,panasonic-cs-cu-xku9wkt,PANASONIC,XKU9WKT,CS/CU-XKU9WKT,8876 BTU,HomePro,reviews,4,needs_exact_link_or_more_proof,needs_more_evidence,find_more_reviews_or_sales_signal,,Below threshold; find more proof before full review.
10,daikin-ftkq09yv2s,DAIKIN,FTKQ,FTKQ09YV2S,9200 BTU,HomePro,reviews,3,needs_exact_link_or_more_proof,needs_more_evidence,find_more_reviews_or_sales_signal,,Below threshold; find more proof before full review.
